Schl,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic,,
000000254,MT LEBANON SD,MT LEBANON SHS,Algebra I,Historically Underperforming,11,99,22.2,54.5,14.1,9.1,,
000000254,MT LEBANON SD,MT LEBANON SHS,Biology,All Students,11,430,54.7,35.8,6.3,3.3,,
000000254,MT LEBANON SD,MT LEBANON SHS,Biology,Historically Underperforming,11,98,33.7,36.7,15.3,14.3,,
000000254,MT LEBANON SD,MT LEBANON SHS,Literature,All Students,11,429,20.0,76.2,3.5,0.2,,
000000254,MT LEBANON SD,MT LEBANON SHS,Literature,Historically Underperforming,11,98,12.2,71.4,15.3,1.0,,
000008305,NORTH ALLEGHENY SD,NORTH ALLEGHENY HIGH SCHOOL,Algebra I,All Students,11,630,44.9,47.8,6.0,1.3,,
000008305,NORTH ALLEGHENY SD,NORTH ALLEGHENY HIGH SCHOOL,Algebra I,Historically Underperforming,11,67,14.9,46.3,26.9,11.9,,
000008305,NORTH ALLEGHENY SD,NORTH ALLEGHENY HIGH SCHOOL,Biology,All Students,11,625,54.6,33.8,8.6,3.0,,
000008305,NORTH ALLEGHENY SD,NORTH ALLEGHENY HIGH SCHOOL,Biology,Historically Underperforming,11,65,27.7,21.5,26.2,24.6,,
000008305,NORTH ALLEGHENY SD,NORTH ALLEGHENY HIGH SCHOOL,Literature,All Students,11,626,27.2,68.5,3.2,1.1,,
000008305,NORTH ALLEGHENY SD,NORTH ALLEGHENY HIGH SCHOOL,Literature,Historically Underperforming,11,65,7.7,60.0,21.5,10.8,,
000007101,NORTH HILLS SD,NORTH HILLS SHS,Algebra I,All Students,11,347,41.5,39.5,14.4,4.6,,
000007101,NORTH HILLS SD,NORTH HILLS SHS,Algebra I,Historically Underperforming,11,105,22.9,35.2,27.6,14.3,,
000007101,NORTH HILLS SD,NORTH HILLS SHS,Biology,All Students,11,347,37.2,45.8,11.2,5.8,,
000007101,NORTH HILLS SD,NORTH HILLS SHS,Biology,Historically Underperforming,11,105,21.0,41.9,21.9,15.2,,
000007101,NORTH HILLS SD,NORTH HILLS SHS,Literature,All Students,11,340,10.9,66.5,19.1,3.5,,
000007101,NORTH HILLS SD,NORTH HILLS SHS,Literature,Historically Underperforming,11,102,2.9,49.0,37.3,10.8,,
000000053,NORTHGATE SD,NORTHGATE JSHS,Algebra I,All Students,11,64,6.3,40.6,39.1,14.1,,
000000053,NORTHGATE SD,NORTHGATE JSHS,Algebra I,Historically Underperforming,11,35,5.7,25.7,45.7,22.9,,
000000053,NORTHGATE SD,NORTHGATE JSHS,Biology,All Students,11,64,10.9,32.8,32.8,23.4,,
000000053,NORTHGATE SD,NORTHGATE JSHS,Biology,Historically Underperforming,11,34,5.9,17.6,35.3,41.2,,
000000053,NORTHGATE SD,NORTHGATE JSHS,Literature,All Students,11,65,7.7,67.7,20.0,4.6,,
000000053,NORTHGATE SD,NORTHGATE JSHS,Literature,Historically Underperforming,11,35,5.7,54.3,31.4,8.6,,
000007821,PA DISTANCE LEARNING CS,PA DISTANCE LEARNING CS,Algebra I,All Students,11,51,7.8,17.6,41.2,33.3,,
000007821,PA DISTANCE LEARNING CS,PA DISTANCE LEARNING CS,Algebra I,Historically Underperforming,11,20,0.0,10.0,35.0,55.0,,
000007821,PA DISTANCE LEARNING CS,PA DISTANCE LEARNING CS,Biology,All Students,11,51,5.9,25.5,37.3,31.4,,
000007821,PA DISTANCE LEARNING CS,PA DISTANCE LEARNING CS,Biology,Historically Underperforming,11,20,0.0,10.0,50.0,40.0,,
000007821,PA DISTANCE LEARNING CS,PA DISTANCE LEARNING CS,Literature,All Students,11,51,3.9,54.9,21.6,19.6,,
000007821,PA DISTANCE LEARNING CS,PA DISTANCE LEARNING CS,Literature,Historically Underperforming,11,20,0.0,45.0,20.0,35.0,,
000000309,PENN HILLS SD,PENN HILLS SHS,Algebra I,All Students,11,274,6.6,34.3,38.3,20.8,,
000000309,PENN HILLS SD,PENN HILLS SHS,Algebra I,Historically Underperforming,11,169,3.0,26.6,40.2,30.2,,
000000309,PENN HILLS SD,PENN HILLS SHS,Biology,All Students,11,269,17.5,23.8,27.5,31.2,,
000000309,PENN HILLS SD,PENN HILLS SHS,Biology,Historically Underperforming,11,165,10.3,20.0,29.1,40.6,,
000000309,PENN HILLS SD,PENN HILLS SHS,Literature,All Students,11,261,3.1,46.7,32.6,17.6,,
000000309,PENN HILLS SD,PENN HILLS SHS,Literature,Historically Underperforming,11,158,3.2,36.7,36.7,23.4,,
000000315,PINE-RICHLAND SD,PINE-RICHLAND HS,Algebra I,All Students,11,351,43.9,46.4,8.8,0.9,,
000000315,PINE-RICHLAND SD,PINE-RICHLAND HS,Algebra I,Historically Underperforming,11,61,16.4,47.5,31.1,4.9,,
000000315,PINE-RICHLAND SD,PINE-RICHLAND HS,Biology,All Students,11,353,40.8,46.5,8.8,4.0,,
000000315,PINE-RICHLAND SD,PINE-RICHLAND HS,Biology,Historically Underperforming,11,61,23.0,44.3,14.8,18.0,,
000000315,PINE-RICHLAND SD,PINE-RICHLAND HS,Literature,All Students,11,353,12.5,82.2,4.8,0.6,,
000000315,PINE-RICHLAND SD,PINE-RICHLAND HS,Literature,Historically Underperforming,11,60,3.3,76.7,16.7,3.3,,
000008203,PITTSBURGH SD,ACADEMY AT WESTINGHOUSE,Algebra I,All Students,11,85,0.0,14.1,56.5,29.4,,
