Grade,AUN,Schl,County,District Name,School Name,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
11,103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Literature,Historically Underperforming,106,11.3,62.3,13.2,13.2
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,214,21.5,51.9,21.5,5.1
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,108,13.9,41.7,35.2,9.3
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Biology,All Students,215,43.7,36.7,11.2,8.4
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,109,29.4,37.6,17.4,15.6
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Literature,All Students,212,12.7,71.2,10.4,5.7
11,103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Literature,Historically Underperforming,106,8.5,62.3,17.9,11.3
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,All Students,231,51.5,39.8,7.8,0.9
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,Historically Underperforming,39,35.9,35.9,23.1,5.1
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,All Students,231,53.7,34.2,10.8,1.3
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,Historically Underperforming,39,33.3,30.8,28.2,7.7
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,All Students,231,45.0,48.5,5.6,0.9
11,103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,Historically Underperforming,39,23.1,48.7,23.1,5.1
11,103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Algebra I,All Students,145,9.7,51.0,34.5,4.8
11,103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Algebra I,Historically Underperforming,69,5.8,39.1,44.9,10.1
11,103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Biology,All Students,142,4.2,33.8,44.4,17.6
11,103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Biology,Historically Underperforming,69,1.4,24.6,43.5,30.4
11,103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Literature,All Students,144,4.9,69.4,21.5,4.2
11,103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Literature,Historically Underperforming,69,0.0,60.9,30.4,8.7
11,102023217,000008308,Allegheny,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Algebra I,All Students,39,0.0,2.6,33.3,64.1
11,102023217,000008308,Allegheny,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,33,0.0,3.0,36.4,60.6
11,102023217,000008308,Allegheny,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Biology,All Students,35,0.0,2.9,11.4,85.7
11,102023217,000008308,Allegheny,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,29,0.0,3.4,13.8,82.8
11,102023217,000008308,Allegheny,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Literature,All Students,34,0.0,8.8,32.4,58.8
11,102023217,000008308,Allegheny,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,27,0.0,7.4,29.6,63.0
11,103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,All Students,138,23.2,57.2,15.9,3.6
11,103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,51,11.8,43.1,37.3,7.8
11,103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,All Students,140,12.1,39.3,37.1,11.4
11,103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,Historically Underperforming,52,5.8,26.9,46.2,21.2
11,103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,All Students,138,8.0,65.2,21.7,5.1
11,103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,Historically Underperforming,50,2.0,56.0,28.0,14.0
11,103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,All Students,211,6.2,21.8,36.0,36.0
11,103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,131,1.5,18.3,34.4,45.8
11,103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,All Students,206,9.2,23.8,23.3,43.7
11,103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,Historically Underperforming,125,3.2,20.0,19.2,57.6
11,103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,All Students,215,4.2,45.1,32.6,18.1
