AUN,Schl,County,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Economically Disadvantaged,11,15,33.3,26.7,26.7,13.3
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,IEP,11,4,,,,
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,11,32,0.0,21.9,56.3,21.9
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Economically Disadvantaged,11,20,0.0,15.0,55.0,30.0
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,ELL,11,1,,,,
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,IEP,11,9,,,,
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,11,100,7.0,62.0,23.0,8.0
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Economically Disadvantaged,11,48,6.3,52.1,29.2,12.5
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,ELL,11,2,,,,
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,IEP,11,11,0.0,27.3,36.4,36.4
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,11,35,25.7,42.9,20.0,11.4
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Economically Disadvantaged,11,13,15.4,53.8,15.4,15.4
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,ELL,11,1,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,IEP,11,4,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,11,4,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,Economically Disadvantaged,11,3,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,ELL,11,2,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,IEP,11,1,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,All Students,11,77,11.7,57.1,23.4,7.8
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,Economically Disadvantaged,11,40,7.5,50.0,32.5,10.0
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,ELL,11,1,,,,
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,IEP,11,12,0.0,8.3,58.3,33.3
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,11,114,25.4,52.6,12.3,9.6
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Economically Disadvantaged,11,26,15.4,46.2,7.7,30.8
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,ELL,11,1,,,,
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,IEP,11,4,,,,
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,11,2,,,,
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Economically Disadvantaged,11,2,,,,
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,ELL,11,1,,,,
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,All Students,11,222,9.0,54.5,29.3,7.2
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,Economically Disadvantaged,11,65,1.5,46.2,35.4,16.9
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,IEP,11,25,0.0,16.0,40.0,44.0
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,All Students,11,117,5.1,20.5,46.2,28.2
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,Economically Disadvantaged,11,63,3.2,19.0,41.3,36.5
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,ELL,11,2,,,,
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,IEP,11,25,0.0,0.0,44.0,56.0
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,All Students,11,116,9.5,28.4,27.6,34.5
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,Economically Disadvantaged,11,62,8.1,27.4,25.8,38.7
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,ELL,11,4,,,,
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,IEP,11,24,0.0,12.5,33.3,54.2
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,All Students,11,123,3.3,53.7,35.0,8.1
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,Economically Disadvantaged,11,67,3.0,47.8,37.3,11.9
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,ELL,11,4,,,,
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,IEP,11,25,0.0,12.0,60.0,28.0
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,11,6,,,,
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Economically Disadvantaged,11,6,,,,
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,IEP,11,3,,,,
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,11,9,,,,
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Economically Disadvantaged,11,9,,,,
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,IEP,11,3,,,,
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,11,54,0.0,24.1,48.1,27.8
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Economically Disadvantaged,11,52,0.0,23.1,48.1,28.8
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,IEP,11,16,0.0,12.5,31.3,56.3
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,All Students,11,21,9.5,28.6,47.6,14.3
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,Economically Disadvantaged,11,10,,,,
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,ELL,11,1,,,,
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,IEP,11,3,,,,
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,All Students,11,20,0.0,20.0,60.0,20.0
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,Economically Disadvantaged,11,12,0.0,16.7,66.7,16.7
