Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
8106,Biology,All Students,128,28.9,40.6,24.2,6.3
8106,Biology,Historically Underperforming,39,15.4,35.9,38.5,10.3
8106,Literature,All Students,128,34.4,59.4,6.3,0.0
8106,Literature,Historically Underperforming,39,17.9,74.4,7.7,0.0
0412,Algebra I,All Students,133,14.3,36.1,33.8,15.8
0412,Algebra I,Historically Underperforming,85,5.9,31.8,40.0,22.4
0412,Biology,All Students,129,6.2,21.7,36.4,35.7
0412,Biology,Historically Underperforming,83,3.6,15.7,36.1,44.6
0412,Literature,All Students,133,2.3,66.9,18.0,12.8
0412,Literature,Historically Underperforming,86,0.0,57.0,24.4,18.6
8110,Algebra I,All Students,45,2.2,22.2,42.2,33.3
8110,Algebra I,Historically Underperforming,39,0.0,15.4,48.7,35.9
8110,Biology,All Students,41,0.0,7.3,19.5,73.2
8110,Biology,Historically Underperforming,36,0.0,5.6,16.7,77.8
8110,Literature,All Students,45,0.0,26.7,40.0,33.3
8110,Literature,Historically Underperforming,39,0.0,23.1,41.0,35.9
8105,Algebra I,All Students,119,13.4,54.6,29.4,2.5
8105,Algebra I,Historically Underperforming,50,8.0,38.0,50.0,4.0
8105,Biology,All Students,119,14.3,40.3,35.3,10.1
8105,Biology,Historically Underperforming,50,4.0,26.0,58.0,12.0
8105,Literature,All Students,119,14.3,66.4,18.5,0.8
8105,Literature,Historically Underperforming,50,6.0,68.0,24.0,2.0
6047,Algebra I,All Students,3,,,,
6047,Algebra I,Historically Underperforming,3,,,,
6047,Biology,All Students,3,,,,
6047,Biology,Historically Underperforming,3,,,,
6047,Literature,All Students,4,,,,
6047,Literature,Historically Underperforming,4,,,,
8300,Algebra I,All Students,16,6.3,31.3,50.0,12.5
8300,Algebra I,Historically Underperforming,5,,,,
8300,Biology,All Students,16,0.0,31.3,37.5,31.3
8300,Biology,Historically Underperforming,5,,,,
8300,Literature,All Students,16,0.0,62.5,31.3,6.3
8300,Literature,Historically Underperforming,5,,,,
0416,Algebra I,All Students,80,1.3,20.0,45.0,33.8
0416,Algebra I,Historically Underperforming,70,1.4,17.1,42.9,38.6
0416,Biology,All Students,76,2.6,9.2,26.3,61.8
0416,Biology,Historically Underperforming,66,3.0,7.6,24.2,65.2
0416,Literature,All Students,75,0.0,33.3,42.7,24.0
0416,Literature,Historically Underperforming,64,0.0,31.3,42.2,26.6
8107,Algebra I,All Students,86,31.4,47.7,17.4,3.5
8107,Algebra I,Historically Underperforming,42,19.0,47.6,26.2,7.1
8107,Biology,All Students,86,25.6,55.8,17.4,1.2
8107,Biology,Historically Underperforming,42,11.9,57.1,28.6,2.4
8107,Literature,All Students,86,3.5,79.1,15.1,2.3
8107,Literature,Historically Underperforming,42,2.4,69.0,23.8,4.8
0435,Algebra I,All Students,284,28.9,45.1,22.9,3.2
0435,Algebra I,Historically Underperforming,89,14.6,37.1,40.4,7.9
0435,Biology,All Students,287,26.5,47.4,20.6,5.6
0435,Biology,Historically Underperforming,91,14.3,37.4,37.4,11.0
0435,Literature,All Students,285,14.4,69.1,14.4,2.1
0435,Literature,Historically Underperforming,89,5.6,55.1,32.6,6.7
8129,Algebra I,All Students,62,8.1,22.6,40.3,29.0
8129,Algebra I,Historically Underperforming,50,2.0,22.0,46.0,30.0
8129,Biology,All Students,60,8.3,20.0,31.7,40.0
8129,Biology,Historically Underperforming,49,4.1,20.4,32.7,42.9
8129,Literature,All Students,56,0.0,55.4,28.6,16.1
8129,Literature,Historically Underperforming,45,0.0,53.3,28.9,17.8
7772,Algebra I,All Students,30,6.7,20.0,46.7,26.7
7772,Algebra I,Historically Underperforming,23,8.7,13.0,43.5,34.8
7772,Biology,All Students,30,0.0,36.7,13.3,50.0
7772,Biology,Historically Underperforming,23,0.0,34.8,13.0,52.2
7772,Literature,All Students,31,0.0,29.0,45.2,25.8
7772,Literature,Historically Underperforming,24,0.0,25.0,45.8,29.2
7832,Algebra I,All Students,11,18.2,18.2,45.5,18.2
7832,Algebra I,Historically Underperforming,8,,,,
7832,Biology,All Students,11,9.1,9.1,45.5,36.4
7832,Biology,Historically Underperforming,8,,,,
7832,Literature,All Students,11,9.1,27.3,36.4,27.3
7832,Literature,Historically Underperforming,8,,,,
0448,Algebra I,All Students,140,49.3,32.1,13.6,5.0
0448,Algebra I,Historically Underperforming,33,27.3,21.2,33.3,18.2
0448,Biology,All Students,139,39.6,43.9,12.2,4.3
0448,Biology,Historically Underperforming,32,18.8,40.6,25.0,15.6
0448,Literature,All Students,142,18.3,69.7,9.2,2.8
0448,Literature,Historically Underperforming,33,6.1,57.6,27.3,9.1
