2013-14 Percent of Low Income by School,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
303020081,Watson Institute Behavior Support Academy,Allegheny,Quaker Valley SD,29
300029270,Watson Institute Friendship Academy (The),Allegheny,Pittsburgh SD,65.8
300029680,Wesley Spectrum Academy,Allegheny,Upper Saint Clair SD,63.2
300029830,Western PA School for Blind,Allegheny,Pittsburgh SD,100
300029840,Western PA School for Deaf,Allegheny,Woodland Hills SD,60.7
300029810,Western Psych Institute & Clinic,Allegheny,Pittsburgh SD,80
300029770,Wilson Christian Academy,Allegheny,West Mifflin Area SD,0
203028815,Winchester Thurston North,Allegheny,Hampton Township SD,0
202029805,Winchester Thurston School,Allegheny,Pittsburgh SD,0.7
202029905,Yeshiva Achei Tmimim Schools,Allegheny,Pittsburgh SD,36.7
202029925,Yeshiva Achei Tmimim Schools,Allegheny,Pittsburgh SD,47.1
228030000,Daybrook School,Armstrong,Armstrong SD,0
228032504,Divine Redeemer School,Armstrong,Armstrong SD,33.3
228031004,Dry Knob Amish School,Armstrong,Armstrong SD,0
228033204,Grace Christian School,Armstrong,Armstrong SD,41.5
228030005,Meadow View School,Armstrong,Armstrong SD,0
228034004,New Bethlehem Wesleyan Methodist School,Armstrong,Armstrong SD,0
328030004,NHS School,Armstrong,Apollo-Ridge SD,0
228034254,Orchard Hills Chrst Academy,Armstrong,Apollo-Ridge SD,4.6
228034504,Owl Hollow Amish School,Armstrong,Armstrong SD,0
228037849,Pleasant View,Armstrong,Armstrong SD,0
228037154,Shady Lane Amish School,Armstrong,Armstrong SD,0
228037164,Shady Run Amish School,Armstrong,Armstrong SD,0
228037544,Stony Acres Amish School,Armstrong,Armstrong SD,0
228037554,Stony Flat Amish School,Armstrong,Armstrong SD,0
228037804,Whippoorwill School,Armstrong,Armstrong SD,0
227040805,Beaver Co Christian Sch -Upper,Beaver,Big Beaver Falls Area SD,11.7
227040835,Beaver Co Christian -W Park El,Beaver,Blackhawk SD,29
227041005,Bethel Christian School,Beaver,Hopewell Area SD,0
227047605,Divine Mercy Academy,Beaver,Big Beaver Falls Area SD,31.6
327040000,Gateway Licensed Private Academic School,Beaver,Center Area SD,100
227040001,Hope Christian Academy,Beaver,Aliquippa SD,100
300043000,McGuire Memorial,Beaver,New Brighton Area SD,90
227045005,Our Lady of Fatima School,Beaver,Hopewell Area SD,32.3
227046005,Quigley Catholic High School,Beaver,Ambridge Area SD,34.3
227047405,St John the Baptist Sch,Beaver,Central Valley SD,42.2
227048205,Sts Peter & Paul School,Beaver,Beaver Area SD,19.4
208050705,Dry Hill Parochial School,Bedford,Northern Bedford County SD,0
208052005,Friends Cove Mennonite School,Bedford,Bedford Area SD,0
208050005,Golden Rule,Bedford,Northern Bedford County SD,0
208050001,Lone Oak Mennonite School,Bedford,Northern Bedford County SD,0
208050003,Noahs Ark Kindergarten,Bedford,Chestnut Ridge SD,0
208053035,"Snake Spring Valley Christian Academy, Inc.",Bedford,Bedford Area SD,52.4
208058015,South Cove Parochial School,Bedford,Bedford Area SD,0
208057005,St Thomas School,Bedford,Bedford Area SD,17.9
208050004,Sunny Slope School,Bedford,Northern Bedford County SD,0
208059005,Woodbury Mennonite School,Bedford,Northern Bedford County SD,0
214062752,Berks Catholic High School,Berks,Reading SD,26.1
214060782,Berks Christian School,Berks,Exeter Township SD,0
214060602,Bethel Dnkrd Breth Chrst Sch,Berks,Tulpehocken Area SD,0
214061052,Blue Mountain Academy,Berks,Hamburg Area SD,31.7
214061002,Blue Mountain SDA Elementary Sch,Berks,Hamburg Area SD,0
214061082,Blue Mountain View Paroch Sch,Berks,Tulpehocken Area SD,0
300061370,Brookeside Montessori,Berks,Boyertown Area SD,33.3
314060037,Centre Avenue Academy,Berks,Reading SD,100
314060029,CHOR Day Academy,Berks,Reading SD,100
314060003,Cornell Abraxas,Berks,Twin Valley SD,91
214061592,Dalet School,Berks,Tulpehocken Area SD,100
214061802,Fairview Amish School,Berks,Twin Valley SD,0
214061702,Fairview Christian School,Berks,Reading SD,18.9
214062102,Fleetwood Christian Day School,Berks,Fleetwood Area SD,0
214061902,Gateway Christian School,Berks,Brandywine Heights Area SD,0
214062252,Hidden Valley Mennonite School,Berks,Kutztown Area SD,0
214062302,High Point Baptist Academy,Berks,Twin Valley SD,0
314060041,Hogan Learning Academy LLC,Berks,Brandywine Heights Area SD,0
214062502,Holy Guardian Angels Regional School,Berks,Muhlenberg SD,33
224152802,Honey Brook Mennonite School,Berks,Twin Valley SD,0
214060002,Immaculate Conception Academy,Berks,Daniel Boone Area SD,8.9
214065402,Jessie R. Wagner Seventh Day Adventist Elementary,Berks,Boyertown Area SD,0
214068052,Kempton New Church School,Berks,Kutztown Area SD,0
300066540,Kidspeace National Centers,Berks,Muhlenberg SD,100
