,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
1330,7815.0,73,54,73.97%,47,64.38%,56,76.71%,2,2.74%,7,9.59%
1331,7850.0,62,39,62.90%,36,58.06%,42,67.74%,3,4.84%,3,4.84%
1332,7852.0,86,22,25.58%,22,25.58%,24,27.91%,2,2.33%,0,0.00%
1333,7855.0,90,68,75.56%,56,62.22%,72,80.00%,4,4.44%,12,13.33%
1334,7903.0,126,81,64.29%,61,48.41%,87,69.05%,6,4.76%,20,15.87%
1335,7904.0,236,140,59.32%,139,58.90%,141,59.75%,1,0.42%,1,0.42%
1336,7905.0,95,60,63.16%,55,57.89%,62,65.26%,2,2.11%,5,5.26%
1337,7906.0,115,97,84.35%,95,82.61%,99,86.09%,2,1.74%,2,1.74%
1338,8039.0,165,136,82.42%,133,80.61%,141,85.45%,5,3.03%,3,1.82%
1339,8293.0,51,29,56.86%,22,43.14%,32,62.75%,3,5.88%,7,13.73%
1340,8298.0,116,37,31.90%,31,26.72%,43,37.07%,6,5.17%,6,5.17%
1341,8328.0,33,19,57.58%,18,54.55%,21,63.64%,2,6.06%,1,3.03%
1342,8329.0,45,22,48.89%,20,44.44%,23,51.11%,1,2.22%,2,4.44%
1343,8330.0,104,82,78.85%,81,77.88%,83,79.81%,1,0.96%,1,0.96%
1344,8331.0,31,16,51.61%,15,48.39%,19,61.29%,3,9.68%,1,3.23%
1345,8332.0,68,53,77.94%,43,63.24%,54,79.41%,1,1.47%,10,14.71%
1346,8385.0,40,1,2.50%,1,2.50%,1,2.50%,0,0.00%,0,0.00%
1347,8386.0,19,5,26.32%,5,26.32%,6,31.58%,1,5.26%,0,0.00%
1348,8388.0,70,35,50.00%,31,44.29%,37,52.86%,2,2.86%,4,5.71%
1349,8440.0,61,41,67.21%,35,57.38%,46,75.41%,5,8.20%,6,9.84%
1350,8508.0,250,8,3.20%,2,0.80%,8,3.20%,0,0.00%,6,2.40%
1351,9999.0,844,331,39.22%,249,29.50%,371,43.96%,40,4.74%,82,9.72%
1352,,"8,065","4,690",58.15%,"4,279",53.06%,"4,961",61.51%,271,3.36%,411,5.10%
1353,8195.0,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1354,,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1355,7961.0,108,58,53.70%,58,53.70%,69,63.89%,11,10.19%,0,0.00%
1356,,108,58,53.70%,58,53.70%,69,63.89%,11,10.19%,0,0.00%
1357,8148.0,142,69,48.59%,69,48.59%,70,49.30%,1,0.70%,0,0.00%
1358,,142,69,48.59%,69,48.59%,70,49.30%,1,0.70%,0,0.00%
1359,7981.0,94,61,64.89%,57,60.64%,64,68.09%,3,3.19%,4,4.26%
1360,,94,61,64.89%,57,60.64%,64,68.09%,3,3.19%,4,4.26%
1361,8126.0,85,61,71.76%,61,71.76%,61,71.76%,0,0.00%,0,0.00%
1362,,85,61,71.76%,61,71.76%,61,71.76%,0,0.00%,0,0.00%
1363,,"11,877","6,841",57.60%,"6,380",53.72%,"7,304",61.50%,463,3.90%,461,3.88%
1364,4310.0,217,152,70.05%,144,66.36%,166,76.50%,14,6.45%,8,3.69%
1365,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1366,,222,152,68.47%,144,64.86%,166,74.77%,14,6.31%,8,3.60%
1367,5261.0,321,206,64.17%,203,63.24%,214,66.67%,8,2.49%,3,0.93%
1368,,321,206,64.17%,203,63.24%,214,66.67%,8,2.49%,3,0.93%
1369,,543,358,65.93%,347,63.90%,380,69.98%,22,4.05%,11,2.03%
1370,6222.0,16,8,50.00%,8,50.00%,8,50.00%,0,0.00%,0,0.00%
1371,,16,8,50.00%,8,50.00%,8,50.00%,0,0.00%,0,0.00%
1372,3869.0,55,30,54.55%,30,54.55%,37,67.27%,7,12.73%,0,0.00%
1373,,55,30,54.55%,30,54.55%,37,67.27%,7,12.73%,0,0.00%
1374,6223.0,24,9,37.50%,9,37.50%,11,45.83%,2,8.33%,0,0.00%
