,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
768,3857.0,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
769,3859.0,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
770,3860.0,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
771,3861.0,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
772,6527.0,261,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
773,6548.0,61,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
774,6675.0,155,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
775,6822.0,172,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
776,6996.0,159,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
777,7023.0,176,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
778,7070.0,102,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
779,7072.0,132,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
780,7229.0,43,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
781,7245.0,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
782,7255.0,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
783,7664.0,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
784,7780.0,74,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
785,7782.0,146,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
786,7808.0,49,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
787,7811.0,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
788,7813.0,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
789,7815.0,68,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
790,7850.0,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
791,7852.0,113,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
792,7855.0,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
793,7903.0,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
794,7904.0,199,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
795,7905.0,86,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
796,7906.0,117,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
797,8039.0,137,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
798,8293.0,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
799,8298.0,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
800,8328.0,33,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
801,8330.0,117,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
802,8385.0,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
803,8386.0,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
804,8388.0,122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
805,9999.0,880,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
806,8195.0,137,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
807,7961.0,101,76,75.25%,75,74.26%,85,84.16%,9,8.91%,1
808,8127.0,50,50,100.00%,49,98.00%,50,100.00%,0,0.00%,1
809,8148.0,36,26,72.22%,26,72.22%,27,75.00%,1,2.78%,0
810,7981.0,81,78,96.30%,75,92.59%,78,96.30%,0,0.00%,3
811,8126.0,77,63,81.82%,62,80.52%,64,83.12%,1,1.30%,1
812,4310.0,256,160,62.50%,158,61.72%,170,66.41%,10,3.91%,2
813,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
814,5261.0,377,284,75.33%,283,75.07%,291,77.19%,7,1.86%,1
815,6222.0,13,6,46.15%,6,46.15%,6,46.15%,0,0.00%,0
816,3869.0,77,49,63.64%,49,63.64%,49,63.64%,0,0.00%,0
817,6223.0,15,12,80.00%,9,60.00%,12,80.00%,0,0.00%,3
818,3875.0,44,17,38.64%,15,34.09%,17,38.64%,0,0.00%,2
819,3877.0,30,17,56.67%,17,56.67%,19,63.33%,2,6.67%,0
820,9999.0,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0
821,3891.0,189,131,69.31%,112,59.26%,136,71.96%,5,2.65%,19
822,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
823,7012.0,61,43,70.49%,38,62.30%,43,70.49%,0,0.00%,5
824,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
825,6583.0,103,68,66.02%,57,55.34%,71,68.93%,3,2.91%,11
826,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
827,8161.0,15,4,26.67%,4,26.67%,4,26.67%,0,0.00%,0
828,3883.0,129,79,61.24%,79,61.24%,82,63.57%,3,2.33%,0
829,3910.0,111,59,53.15%,59,53.15%,63,56.76%,4,3.60%,0
830,3924.0,199,119,59.80%,110,55.28%,120,60.30%,1,0.50%,9
831,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
832,9999.0,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
833,3940.0,69,37,53.62%,37,53.62%,37,53.62%,0,0.00%,0
834,5264.0,95,62,65.26%,62,65.26%,69,72.63%,7,7.37%,0
835,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
836,5070.0,155,124,80.00%,119,76.77%,129,83.23%,5,3.23%,5
837,3957.0,61,45,73.77%,42,68.85%,45,73.77%,0,0.00%,3
838,3914.0,64,44,68.75%,37,57.81%,45,70.31%,1,1.56%,7
839,3962.0,139,66,47.48%,66,47.48%,66,47.48%,0,0.00%,0
840,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
841,3969.0,181,125,69.06%,125,69.06%,125,69.06%,0,0.00%,0
842,6207.0,61,37,60.66%,37,60.66%,37,60.66%,0,0.00%,0
843,3978.0,67,48,71.64%,48,71.64%,49,73.13%,1,1.49%,0
844,3994.0,67,45,67.16%,45,67.16%,46,68.66%,1,1.49%,0
845,3988.0,72,40,55.56%,36,50.00%,43,59.72%,3,4.17%,4
846,6210.0,55,37,67.27%,32,58.18%,37,67.27%,0,0.00%,5
847,4002.0,21,12,57.14%,12,57.14%,13,61.90%,1,4.76%,0
848,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
849,4006.0,49,25,51.02%,25,51.02%,26,53.06%,1,2.04%,0
