,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
556,460.0,428,349,81.5%,335,351,82.0%,2,0.5%,14
557,7893.0,162,105,64.8%,93,105,64.8%,0,0.0%,12
558,6800.0,34,19,55.9%,19,19,55.9%,0,0.0%,0
559,8093.0,153,102,66.7%,96,107,69.9%,5,3.3%,6
560,3124.0,93,68,73.1%,66,69,74.2%,1,1.1%,2
561,3940.0,93,59,63.4%,48,69,74.2%,10,10.8%,11
562,2708.0,85,73,85.9%,73,76,89.4%,3,3.5%,0
563,3569.0,205,127,62.0%,122,131,63.9%,4,2.0%,5
564,5221.0,244,166,68.0%,151,166,68.0%,0,0.0%,15
565,1172.0,167,134,80.2%,134,136,81.4%,2,1.2%,0
566,3117.0,72,42,58.3%,42,44,61.1%,2,2.8%,0
567,2658.0,302,194,64.2%,181,212,70.2%,18,6.0%,13
568,4015.0,186,126,67.7%,125,130,69.9%,4,2.2%,1
569,3354.0,532,385,72.4%,383,386,72.6%,1,0.2%,2
570,440.0,142,110,77.5%,91,111,78.2%,1,0.7%,19
571,1177.0,264,211,79.9%,211,221,83.7%,10,3.8%,0
572,4602.0,207,172,83.1%,164,173,83.6%,1,0.5%,8
573,470.0,141,128,90.8%,125,129,91.5%,1,0.7%,3
574,6328.0,181,138,76.2%,131,141,77.9%,3,1.7%,7
575,467.0,164,150,91.5%,148,150,91.5%,0,0.0%,2
576,714.0,110,88,80.0%,86,88,80.0%,0,0.0%,2
577,4608.0,306,214,69.9%,198,226,73.9%,12,3.9%,16
578,3056.0,98,70,71.4%,69,70,71.4%,0,0.0%,1
579,6516.0,271,135,49.8%,130,150,55.4%,15,5.5%,5
580,2284.0,45,19,42.2%,19,21,46.7%,2,4.4%,0
581,1627.0,111,96,86.5%,92,98,88.3%,2,1.8%,4
582,2253.0,55,29,52.7%,29,33,60.0%,4,7.3%,0
583,2313.0,101,58,57.4%,53,59,58.4%,1,1.0%,5
584,2839.0,237,202,85.2%,202,208,87.8%,6,2.5%,0
585,4064.0,41,28,68.3%,24,30,73.2%,2,4.9%,4
586,4068.0,91,59,64.8%,57,63,69.2%,4,4.4%,2
587,4071.0,52,27,51.9%,27,30,57.7%,3,5.8%,0
588,4614.0,273,217,79.5%,207,223,81.7%,6,2.2%,10
589,6191.0,183,134,73.2%,134,140,76.5%,6,3.3%,0
590,7648.0,3,1,33.3%,1,1,33.3%,0,0.0%,0
591,941.0,157,102,65.0%,98,108,68.8%,6,3.8%,4
592,4623.0,284,213,75.0%,191,217,76.4%,4,1.4%,22
593,1950.0,262,249,95.0%,246,254,96.9%,5,1.9%,3
594,3376.0,162,153,94.4%,153,154,95.1%,1,0.6%,0
595,3367.0,508,460,90.6%,457,469,92.3%,9,1.8%,3
596,1364.0,648,566,87.3%,545,568,87.7%,2,0.3%,21
597,196.0,136,100,73.5%,93,103,75.7%,3,2.2%,7
598,1801.0,73,54,74.0%,54,55,75.3%,1,1.4%,0
599,477.0,83,55,66.3%,43,55,66.3%,0,0.0%,12
600,3224.0,429,332,77.4%,332,332,77.4%,0,0.0%,0
601,7635.0,21,10,47.6%,10,10,47.6%,0,0.0%,0
