AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
103021752,3361.78,11881.19,19495.74,0.0,868604.65,843345.0,39941945.72,47586357.35,0.3153,1500594.58,1332106.7,4847634.62,15753313.64,19250207.41,65540382.33,65540382.34
103021903,974.291,11665.92,17695.82,50153.09,997932.28,62718.0,11366003.83,3825241.65,0.8368,390873.19,0.0,353167.1,11733856.23,5080681.54,17240878.75,16557030.16
103022103,607.628,14292.16,24584.52,0.0,775822.0,518357.0,8684314.0,9557068.0,0.5083,453094.0,0.0,1199050.0,4233002.0,4601782.0,14938240.0,14565892.0
103022253,1902.179,10772.05,19977.18,29148.84,363030.54,6635230.0,20490361.55,23285066.03,0.4925,742794.41,150.0,4497366.62,13454719.16,12240510.17,38000181.59,37102965.73
103022481,369.947,9009.83,27728.26,4067276.0,363047.0,16803.0,3333159.0,6387900.0,0.6323,215386.0,2835000.0,369349.0,43421.0,2272817.0,10257987.0,9629368.0
103022503,880.045,16049.61,23707.69,0.0,1673479.3,4236401.0,14124376.76,2115025.18,0.8673,91404.14,0.0,1179181.73,16562127.87,5468872.69,20863835.32,20350632.35
103022803,1810.305,11302.31,18919.15,159137.5,787812.78,-4094151.0,20460624.45,17698184.3,0.717,445860.0,0.0,2459429.0,16435889.75,10724382.73,34249433.68,34921886.83
103023090,322.68,10068.35,17762.39,0.0,191324.0,1965503.0,3248854.0,6062690.0,0.3101,4824.0,0.0,93750.0,20925.0,2384141.0,5731569.0,6274939.0
103023153,2367.787,10338.86,18482.09,14125.69,437185.54,2222152.0,24480209.5,23184066.28,0.6255,1232223.91,0.0,4297226.54,19454223.62,13737872.63,43761658.27,43075475.44
103023410,31.697,17156.42,37593.34,0.0,0.0,281818.0,543807.0,1195738.0,0.4088,0.0,0.0,49517.0,1162.0,598272.0,1191596.0,1196900.0
103023807,384.47,8525.6,18421.44,1062773.88,389399.0,39221.0,3277838.81,4539065.39,0.5676,9690.9,0.0,10000.0,1346803.89,2722187.88,7082491.47,6275268.28
103023912,4094.484,15053.37,24659.18,855326.68,1064257.41,22220678.0,61635772.63,77902404.9,0.1805,2663801.62,437543.42,5750570.62,19296458.38,30061157.81,100966629.4,98700664.11
103024102,3545.822,13353.39,21007.31,0.0,1315376.23,9328032.0,47348748.81,53211586.35,0.4088,1343527.79,0.0,3583293.26,19500090.44,22212611.97,74488181.83,74027053.02
103024162,305.507,10881.17,21278.27,0.0,155234.0,-141948.0,3324273.0,5405600.0,0.4088,73831.0,0.0,1450222.0,29078.0,1652334.0,6500660.0,5589912.0
103024603,2831.728,10659.99,18580.96,0.0,286867.48,7143048.0,30186194.45,37349353.25,0.398,1347392.92,4150.0,5272714.03,14330109.69,15809922.96,52616224.36,51970480.42
103024753,2457.547,11773.27,17720.95,0.0,1098631.06,16864924.0,28933368.42,22150450.45,0.6844,709208.65,0.0,767612.58,22786810.55,13139872.15,43550061.8,46035892.06
103024952,293.146,9538.09,18689.6,0.0,167732.0,386738.0,2796053.0,5388136.0,0.3101,43274.0,0.0,300000.0,21565.0,2339455.0,5478782.0,5577433.0
103025002,1971.661,11897.99,26869.98,0.0,675309.96,5926570.0,23458805.93,30556414.56,0.3353,1128658.46,12459617.21,15220630.45,12326434.09,13170403.72,52978498.56,56017775.82
103025206,325.124,12926.65,18853.14,169860.0,201248.0,684752.0,4202764.0,5996470.0,0.5591,55991.0,18465.0,119249.0,52581.0,1581743.0,6129607.0,6268764.0
103026002,3838.575,10145.26,17146.18,0.0,4560452.0,6843185.0,38943345.0,18119922.0,0.7702,1088922.0,96479.0,10047903.0,44350729.0,15736717.0,65816887.0,67127582.0
103026303,2961.418,12455.59,23153.91,15375.0,947758.3,15120572.0,36886211.67,58069714.82,0.2114,1347161.68,34440.68,12079297.05,13960213.88,18240359.86,68568405.26,73012127.68
103026343,3996.238,11072.58,19515.1,0.0,1618282.79,6861479.0,44248665.36,59462170.77,0.4062,1490909.07,263215.0,11132886.05,17789570.11,21114513.13,77986973.61,79133238.67
103026402,5539.045,10583.59,17877.7,0.0,806963.21,14421869.0,58623008.66,76694142.6,0.3999,2636547.67,0.0,11645576.0,21209202.35,26120266.55,99025398.88,98710308.16
103026852,8655.546,11385.18,19496.72,66688.96,1274793.99,19498438.0,98544919.9,126954830.2,0.2864,4127234.81,4413808.0,18129032.2,35809239.41,47886893.66,168754769.5,168452671.6
103026873,1125.734,12970.64,22117.14,1514585.37,541131.94,8915100.0,14601488.86,14146872.24,0.538,593526.13,0.0,829674.2,9028938.17,7358737.21,24898011.77,23716942.35
103026902,4518.401,10963.16,18567.48,0.0,880263.36,10830097.0,49535956.93,60669778.3,0.3937,1490036.45,0.0,11239712.47,19447558.34,21629591.77,83895297.62,80997600.0
103027307,385.984,10619.22,19110.97,541340.0,312596.0,374724.0,4098850.0,5954143.0,0.3848,50467.0,0.0,276885.0,1263898.0,2408987.0,7376529.0,7530637.0
103027352,4208.249,12594.69,21532.69,0.0,5117488.37,-9520188.0,53001589.67,49522419.7,0.6323,1186256.1,2956334.56,11923586.93,36150607.43,24503498.99,90614931.69,93746850.06
103027503,3736.202,9757.32,17028.12,0.0,927134.51,4091573.0,36455300.47,36509180.61,0.6002,1368293.29,0.0,8830239.45,26906257.16,16966660.69,63620493.9,64342572.28
103027753,2014.745,12152.0,24871.86,0.0,1021164.0,7412131.0,24483179.0,41839672.0,0.15,1628603.0,0.0,8790683.0,7602716.0,15207988.0,50110453.0,50463552.0
103028192,393.222,8084.04,21303.29,19010.0,215675.0,331264.0,3178823.0,8148684.0,0.3101,45589.0,0.0,963088.0,44013.0,4170413.0,8376923.0,8408372.0
103028203,1016.318,12191.99,21885.97,9298.0,332709.84,5047623.0,12390935.82,16562441.86,0.354,752537.58,0.0,1482500.36,6522351.83,7607831.2,22243102.96,23417503.53
103028246,281.317,12113.97,18670.45,0.0,306743.0,2532838.0,3407865.0,5376134.0,0.3101,0.0,0.0,47996.0,31264.0,1796454.0,5252315.0,5714141.0
103028302,4293.013,11637.25,19610.34,0.0,1040225.86,11309277.0,49958858.73,55103070.32,0.5227,1967634.99,15279.98,7330472.87,27825037.8,24930472.66,84187439.25,83983613.96
103028425,159.605,6367.99,19439.88,0.0,55366.0,-133311.0,1016363.57,2675391.74,0.717,32111.49,0.0,0.0,33687.0,2054226.24,3102701.3,2764444.74
103028653,1599.249,10298.95,16118.84,4953.5,947636.07,5620601.0,16470578.07,7672211.11,0.7628,740273.75,0.0,1253504.32,16457980.0,7308723.64,25778033.28,25077827.18
103028703,3413.168,8109.02,16284.43,0.0,1531256.52,26873674.0,27677445.22,42886404.36,0.5539,1812673.38,400770.0,8449878.44,12213002.11,17641510.4,55581507.44,57031432.99
103028753,1831.373,9709.23,18512.22,0.0,365621.51,3806726.0,17781215.38,21578345.49,0.5869,945184.77,0.0,5084329.56,12980260.85,10092047.73,33902777.44,34924227.85
103028807,319.746,9792.05,18565.15,0.0,280761.0,657.0,3130967.52,4372302.0,0.5939,0.0,0.0,207523.0,1237628.0,2597642.39,5936132.91,5890691.0
103028833,1687.41,14587.3,23022.17,1600.0,942331.58,3438947.0,24614763.19,22012175.98,0.6193,727160.1,1638515.0,3759793.22,15499295.24,9744520.41,38847836.92,40092317.8
103028853,1790.204,10668.82,17560.68,0.0,1515058.52,-5536273.0,19099370.63,8723816.29,0.807,350732.56,3500000.0,4766258.95,15888999.12,7220838.98,31437201.12,29627873.93
