,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
147,124151902.0,31003.0,1633937982.0,105552846.0,52893797.0,52365751.0,808.0,1714664.0,55852248.0,1844750376.0,1788898128.0
148,124152003.0,34257.0,3446351533.0,407715636.0,265616349.0,175063045.0,1749.0,5754582.0,187445668.0,4294746563.0,4107300895.0
149,124153503.0,15969.0,1801353774.0,332522921.0,364268005.0,181420926.0,958.0,4412326.0,143723974.0,2679565626.0,2535841652.0
150,124154003.0,12228.0,1052452551.0,178989432.0,137540397.0,103371961.0,2858.0,12946616.0,421713876.0,1472354341.0,1050640465.0
151,124156503.0,8426.0,415130291.0,71622527.0,54128116.0,101416139.0,414.0,799102.0,26029381.0,642297073.0,616267692.0
152,124156603.0,17060.0,1438982794.0,230003608.0,145214189.0,105641668.0,514.0,1502917.0,48954951.0,1919842259.0,1870887308.0
153,124156703.0,11370.0,632495861.0,53135240.0,32412264.0,22511469.0,1398.0,3189663.0,103897818.0,740554834.0,636657016.0
154,124157203.0,17638.0,1408255536.0,171420145.0,168949704.0,86188265.0,449.0,973340.0,31704886.0,1834813650.0,1803108764.0
155,124157802.0,20244.0,2796741926.0,589551169.0,519689082.0,318746899.0,1403.0,6973526.0,227150684.0,4224729076.0,3997578392.0
156,124158503.0,11849.0,1477575663.0,294120421.0,330471536.0,198717954.0,2447.0,16932090.0,551533876.0,2300885574.0,1749351698.0
157,124159002.0,52297.0,4498773913.0,700046992.0,507850562.0,324734863.0,3608.0,12725770.0,414520195.0,6031406330.0,5616886135.0
158,106160303.0,2598.0,103329062.0,6676841.0,3398718.0,3650252.0,19.0,12245.0,398860.0,117054873.0,116656013.0
159,106161203.0,3214.0,126301448.0,12691483.0,8805629.0,11418001.0,31.0,34355.0,1119055.0,159216561.0,158097506.0
160,106161703.0,3077.0,112300594.0,12221787.0,5643602.0,5628573.0,18.0,6856.0,223322.0,135794556.0,135571234.0
