,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
277,113361303.0,"$1,768,748,030","$759,387,014","3,453.959","$512,092",0.4369,"$219,859",0.4617,0.4467
278,113361503.0,"$356,301,169","$200,465,684","1,669.763","$213,384",0.7654,"$120,056",0.7061,0.7416
279,113361703.0,"$3,214,897,729","$1,085,243,396","4,994.029","$643,748",0.2922,"$217,308",0.468,0.3625
280,113362203.0,"$1,483,892,011","$658,883,394","3,497.829","$424,232",0.5335,"$188,369",0.5388,0.5356
281,113362303.0,"$2,773,443,569","$976,316,729","3,509.789","$790,202",0.1311,"$278,169",0.319,0.2062
282,113362403.0,"$1,989,181,095","$928,360,201","4,503.832","$441,664",0.5144,"$206,126",0.4954,0.5067
283,113362603.0,"$2,298,039,960","$1,014,547,680","4,864.442","$472,415",0.4806,"$208,564",0.4894,0.484
284,113363103.0,"$4,502,341,043","$1,942,704,474","8,271.522","$544,318",0.4015,"$234,866",0.425,0.4109
285,113363603.0,"$1,938,020,968","$802,064,869","3,543.173","$546,973",0.3986,"$226,369",0.4458,0.4174
286,113364002.0,"$3,397,445,399","$1,780,253,577","12,213.558","$278,169",0.6942,"$145,760",0.6432,0.6737
287,113364403.0,"$2,289,807,234","$815,837,732","3,624.034","$631,839",0.3052,"$225,118",0.4489,0.3626
288,113364503.0,"$3,960,406,990","$1,859,752,413","7,099.195","$557,867",0.3866,"$261,966",0.3586,0.3753
289,113365203.0,"$2,847,405,288","$1,239,883,593","6,268.423","$454,245",0.5005,"$197,798",0.5157,0.5065
290,113365303.0,"$1,681,133,592","$595,574,047","1,752.044","$959,527",0.1,"$339,930",0.1677,0.15
291,113367003.0,"$2,382,943,996","$737,671,493","3,933.857","$605,752",0.3339,"$187,518",0.5409,0.4166
292,113369003.0,"$2,618,573,227","$1,198,139,476","4,814.248","$543,921",0.4019,"$248,873",0.3907,0.3973
293,104372003.0,"$576,897,585","$322,104,624","2,045.778","$281,994",0.69,"$157,448",0.6145,0.6598
294,104374003.0,"$459,218,006","$192,268,459","1,271.283","$361,224",0.6028,"$151,239",0.6297,0.6134
295,104375003.0,"$534,634,509","$249,975,972","1,778.653","$300,583",0.6695,"$140,542",0.6559,0.664
296,104375203.0,"$729,748,413","$332,916,111","1,514.916","$481,708",0.4703,"$219,758",0.462,0.4669
297,104375302.0,"$537,588,973","$332,125,322","3,899.306","$137,867",0.8484,"$85,175",0.7915,0.8256
298,104376203.0,"$424,403,939","$197,920,563","1,351.382","$314,051",0.6547,"$146,457",0.6415,0.6494
299,104377003.0,"$255,705,422","$97,268,751",897.886,"$284,786",0.6869,"$108,330",0.7348,0.706
300,104378003.0,"$577,522,391","$243,689,569","1,280.538","$450,999",0.5041,"$190,302",0.5341,0.516
301,113380303.0,"$807,618,409","$317,595,305","1,687.392","$478,619",0.4737,"$188,216",0.5392,0.4998
302,113381303.0,"$2,701,212,675","$1,107,484,952","5,778.646","$467,447",0.486,"$191,651",0.5308,0.5039
303,113382303.0,"$1,481,724,844","$589,190,030","2,886.184","$513,385",0.4355,"$204,141",0.5002,0.4613
304,113384603.0,"$777,773,176","$402,262,707","6,219.724","$125,049",0.8625,"$64,675",0.8417,0.8541
305,113385003.0,"$1,286,824,815","$489,872,479","2,731.375","$471,127",0.482,"$179,350",0.5609,0.5135
306,113385303.0,"$1,831,997,587","$791,404,793","4,284.847","$427,552",0.5299,"$184,698",0.5478,0.537
307,121390302.0,"$4,750,763,436","$1,973,810,238","24,715.081","$192,221",0.7887,"$79,862",0.8045,0.795
308,121391303.0,"$968,440,494","$242,494,346","1,927.085","$502,541",0.4474,"$125,834",0.6919,0.5451
309,121392303.0,"$5,467,005,843","$2,306,541,993","10,308.966","$530,315",0.4169,"$223,741",0.4522,0.4309
