,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
165,2809.0,681,530,77.8%,527,538,79.0%,8,1.2%,3
166,1707.0,248,202,81.5%,202,204,82.3%,2,0.8%,0
167,7641.0,315,203,64.4%,203,225,71.4%,22,7.0%,0
168,6935.0,337,244,72.4%,244,269,79.8%,25,7.4%,0
169,2554.0,285,161,56.5%,153,163,57.2%,2,0.7%,8
170,2740.0,192,139,72.4%,120,140,72.9%,1,0.5%,19
171,4564.0,189,130,68.8%,116,134,70.9%,4,2.1%,14
172,3482.0,634,517,81.5%,511,531,83.8%,14,2.2%,6
173,144.0,245,185,75.5%,171,191,78.0%,6,2.4%,14
174,2562.0,313,215,68.7%,209,220,70.3%,5,1.6%,6
175,6418.0,103,64,62.1%,64,70,68.0%,6,5.8%,0
176,2675.0,131,111,84.7%,111,112,85.5%,1,0.8%,0
177,6293.0,287,178,62.0%,164,189,65.9%,11,3.8%,14
178,7842.0,15,0,0.0%,0,0,0.0%,0,0.0%,0
179,7294.0,163,75,46.0%,62,84,51.5%,9,5.5%,13
180,2026.0,187,101,54.0%,101,103,55.1%,2,1.1%,0
181,7515.0,180,168,93.3%,167,171,95.0%,3,1.7%,1
182,2027.0,183,96,52.5%,96,114,62.3%,18,9.8%,0
183,7897.0,116,75,64.7%,75,76,65.5%,1,0.9%,0
184,7866.0,12,11,91.7%,11,11,91.7%,0,0.0%,0
185,788.0,311,239,76.8%,239,263,84.6%,24,7.7%,0
186,6269.0,90,53,58.9%,48,60,66.7%,7,7.8%,5
187,6737.0,144,112,77.8%,107,113,78.5%,1,0.7%,5
188,2201.0,42,21,50.0%,19,22,52.4%,1,2.4%,2
189,5248.0,53,0,0.0%,0,0,0.0%,0,0.0%,0
190,1225.0,54,36,66.7%,34,36,66.7%,0,0.0%,2
191,5023.0,204,143,70.1%,142,152,74.5%,9,4.4%,1
192,2246.0,34,22,64.7%,21,24,70.6%,2,5.9%,1
193,6159.0,17,8,47.1%,8,10,58.8%,2,11.8%,0
194,6161.0,31,21,67.7%,21,21,67.7%,0,0.0%,0
195,6419.0,63,40,63.5%,38,41,65.1%,1,1.6%,2
196,1191.0,178,125,70.2%,118,130,73.0%,5,2.8%,7
197,4242.0,100,78,78.0%,77,78,78.0%,0,0.0%,1
198,2037.0,163,118,72.4%,118,121,74.2%,3,1.8%,0
199,156.0,412,385,93.4%,384,387,93.9%,2,0.5%,1
200,4106.0,172,109,63.4%,98,121,70.3%,12,7.0%,11
201,4360.0,291,251,86.3%,247,257,88.3%,6,2.1%,4
202,7666.0,210,176,83.8%,154,183,87.1%,7,3.3%,22
203,2126.0,92,62,67.4%,60,63,68.5%,1,1.1%,2
204,6563.0,151,105,69.5%,105,108,71.5%,3,2.0%,0
