,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
821,7904.0,188,136,72.34%,134,71.28%,139,73.94%,3,1.60%,2
822,7905.0,96,77,80.21%,76,79.17%,78,81.25%,1,1.04%,1
823,7906.0,119,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
824,8039.0,136,81,59.56%,77,56.62%,83,61.03%,2,1.47%,4
825,8293.0,80,34,42.50%,31,38.75%,41,51.25%,7,8.75%,3
826,8298.0,133,42,31.58%,31,23.31%,46,34.59%,4,3.01%,11
827,8328.0,50,9,18.00%,8,16.00%,9,18.00%,0,0.00%,1
828,8329.0,41,25,60.98%,24,58.54%,25,60.98%,0,0.00%,1
829,8330.0,116,98,84.48%,94,81.03%,100,86.21%,2,1.72%,4
830,8331.0,36,1,2.78%,1,2.78%,2,5.56%,1,2.78%,0
831,8332.0,56,32,57.14%,31,55.36%,35,62.50%,3,5.36%,1
832,8385.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
833,8386.0,19,4,21.05%,3,15.79%,4,21.05%,0,0.00%,1
834,8388.0,103,35,33.98%,33,32.04%,40,38.83%,5,4.85%,2
836,8195.0,105,66,62.86%,66,62.86%,70,66.67%,4,3.81%,0
837,7961.0,94,71,75.53%,71,75.53%,78,82.98%,7,7.45%,0
838,8148.0,47,26,55.32%,23,48.94%,27,57.45%,1,2.13%,3
839,7981.0,78,65,83.33%,64,82.05%,68,87.18%,3,3.85%,1
840,8126.0,94,68,72.34%,68,72.34%,73,77.66%,5,5.32%,0
841,4310.0,249,127,51.00%,126,50.60%,133,53.41%,6,2.41%,1
843,5261.0,371,255,68.73%,255,68.73%,262,70.62%,7,1.89%,0
845,6222.0,11,6,54.55%,6,54.55%,6,54.55%,0,0.00%,0
846,3869.0,56,31,55.36%,31,55.36%,35,62.50%,4,7.14%,0
847,6223.0,16,9,56.25%,9,56.25%,11,68.75%,2,12.50%,0
848,3875.0,37,16,43.24%,16,43.24%,17,45.95%,1,2.70%,0
849,3877.0,23,11,47.83%,11,47.83%,12,52.17%,1,4.35%,0
850,3891.0,192,124,64.58%,116,60.42%,133,69.27%,9,4.69%,8
851,8403.0,65,39,60.00%,38,58.46%,41,63.08%,2,3.08%,1
853,6583.0,72,44,61.11%,42,58.33%,45,62.50%,1,1.39%,2
854,8161.0,11,10,90.91%,7,63.64%,10,90.91%,0,0.00%,3
855,3883.0,136,72,52.94%,72,52.94%,74,54.41%,2,1.47%,0
856,3910.0,111,53,47.75%,51,45.95%,53,47.75%,0,0.00%,2
857,3924.0,250,136,54.40%,126,50.40%,138,55.20%,2,0.80%,10
859,3940.0,74,38,51.35%,38,51.35%,45,60.81%,7,9.46%,0
860,5264.0,95,40,42.11%,39,41.05%,42,44.21%,2,2.11%,1
862,5070.0,167,150,89.82%,143,85.63%,151,90.42%,1,0.60%,7
863,3957.0,51,30,58.82%,27,52.94%,30,58.82%,0,0.00%,3
864,3914.0,49,34,69.39%,31,63.27%,35,71.43%,1,2.04%,3
866,3962.0,153,77,50.33%,76,49.67%,77,50.33%,0,0.00%,1
868,3969.0,193,121,62.69%,113,58.55%,125,64.77%,4,2.07%,8
870,6207.0,41,18,43.90%,16,39.02%,19,46.34%,1,2.44%,2
871,3978.0,65,44,67.69%,41,63.08%,45,69.23%,1,1.54%,3
873,3994.0,70,43,61.43%,39,55.71%,43,61.43%,0,0.00%,4
875,3988.0,71,41,57.75%,39,54.93%,42,59.15%,1,1.41%,2
877,6210.0,38,25,65.79%,24,63.16%,25,65.79%,0,0.00%,1
878,4002.0,20,10,50.00%,10,50.00%,10,50.00%,0,0.00%,0
879,4006.0,22,13,59.09%,11,50.00%,14,63.64%,1,4.55%,2
880,6800.0,28,13,46.43%,12,42.86%,14,50.00%,1,3.57%,1
881,8274.0,157,72,45.86%,67,42.68%,77,49.04%,5,3.18%,5
