Schl,Federal - Non-Personnel,Federal - Personnel,Local - Non-Personnel,Local - Personnel,State - Non-Personnel,State - Personnel
1451,117.66,18.85,1878.2,10863.3,522.86,3024.18
1452,117.74,18.86,1856,9923.21,516.68,2762.47
1453,117.74,18.86,1998.59,10906.24,556.38,3036.13
1454,117.74,344.49,1825.27,9176.04,508.13,2554.47
1456,117.74,18.86,1839.18,9262.61,512,2578.57
1457,117.74,18.86,1833.88,8568.15,510.52,2385.24
1458,117.74,18.86,1826.6,8890.44,508.5,2474.96
1461,18.8,209.26,3611.22,14776.82,563.61,2306.23
1475,0,0,6392.27,4362.23,5143.02,3509.72
1479,26.13,512.51,735.11,4328.04,1216.5,7162.28
1480,25.69,503.94,1191.88,5595.13,1972.38,9259.13
1486,1.12,0,695,3888.97,1621.69,9074.42
1489,4.15,0,2244.54,11900.04,36.94,0
1495,208.92,0,741.52,3382.02,1943.75,8865.27
1501,547.08,350.66,1521.31,1723.49,5256.43,5955
1529,120.24,351.78,1234.54,3611.82,3216.7,9410.94
1532,457.09,967.44,838.18,4987.45,925.8,5646.21
1541,122.93,300.66,867.6,5153.84,990.84,5789.42
1550,14.97,503.44,971.88,3608.65,2530.6,9396.3
1555,0,0,0,0,0,0
1560,0,0,0,0,0,0
1566,187.18,382.34,2014.79,4115.56,4240,8660.96
1570,68.12,865.75,1093.05,4795.71,1213.21,6452.57
1588,66,1044.41,1095.22,4485.38,1215.62,5979.91
1594,1.26,1030.2,3015.55,14050.51,0,0
1597,30.15,1074.08,1661.54,9903.33,0.41,0
1605,30.41,237.48,1722.54,13086.49,0.41,0
1606,5.66,812.54,1280.37,4073.73,825.5,4073.73
1608,86.8,485.36,1407.01,5040.86,907.15,5040.86
1610,21.88,704.47,1701.99,6718.16,1097.33,4423.42
1611,26.15,463.12,1665.58,4228.88,1073.86,4228.88
1612,50.66,188.39,1526.99,7548.49,984.51,4866.79
1619,22.81,235.43,5256.03,7959.61,3474.92,5262.33
1623,0,8.97,2560.56,5441.2,2939.6,6246.66
1627,11.42,527.78,2818.81,10874.54,21.98,24.95
1629,134.97,271.85,1065.66,5250.57,1928.85,9503.59
1630,134.97,974.45,620.42,4086.67,1122.97,7396.91
1632,350.55,62.31,1780.73,6046.93,2188.28,7058.99
1645,332.15,618.13,396.21,4715.47,554.68,5504.69
1650,327.12,618.13,421.86,4705.48,584.62,5493.03
1651,326.57,618.13,410.65,4715.96,571.54,5505.26
1653,336.82,140.95,1869.93,5444.86,2255.2,6356.15
1654,323.21,102.57,2061.18,5275.1,2478.46,6157.98
1663,180.97,1104.92,518.45,2651.76,1370.65,7010.64
1666,178.56,998.41,503.12,2589.79,1330.14,6846.81
1668,116.01,363.77,698.39,3904.61,1846.38,10322.89
1676,55.16,533.82,1582.51,4816.4,1041.84,5369.94
1677,56.49,4.68,2274.89,6919.63,1496.17,7474.41
1678,56.07,222.17,2709.24,10734.13,723.79,2867.69
1680,50.3,186.3,2430.33,9001,649.28,2404.68
1682,53.99,196.86,2608.68,9511.5,696.93,2541.06
1683,148.96,650.29,2511.71,5594.03,714.32,5083.91
1686,15.44,907.42,2461.86,6170.44,700.08,5672.7
1687,14.71,7.07,2787,6880.14,792.77,5956.95
1689,14.75,102.74,2683.05,5377.22,763.2,4911.52
1690,50.65,7.19,2892.31,5285.64,822.35,4995.58
1691,77.51,1269.88,2168.98,5693.33,616.66,5271.2
1692,14.79,87.01,2503.08,5897,711.84,5214.01
1694,39.78,7.07,2527.27,3057.16,718.75,2646.55
1695,6.57,413.27,2029.78,7059.27,332.32,2331.59
1696,6.5,121.34,2033.83,7991.8,332.98,2639.59
1697,6.51,574.13,2122.65,9621.62,347.52,3177.9
1698,6.45,281.02,2044.75,7118.68,334.77,2351.21
1699,6.53,0,2011.05,7369.89,329.25,2434.18
1700,6.28,0,1938.19,7445.43,317.32,2459.13
1701,0,0,2280.54,7333.48,373.37,2422.15
1705,36.04,520.01,1765.56,6079.35,756.67,2605.44
1707,45.83,210.38,2437.16,6711.2,1044.48,2876.23
1709,33.81,412.89,1961.59,10823.73,0,88.04
1711,33.81,412.88,1858.66,10496.79,0,88.03
1715,32.18,254.16,1645.46,11608.67,0,88.24
1716,17.87,580.5,435.61,6056.17,0,0
1724,0.12,0.05,12.65,23.94,4.25,17.98
1729,0.01,0.05,2.03,6.38,0.71,4.79
1730,0,455.2,4361.12,8847.22,0,0
1732,0,0,828.98,7090.24,0,0
1734,21.25,598.56,1069.78,6567.15,0,0
1735,34.38,316,531.75,7554.42,0,0
1736,17.34,317.31,906.97,6742.71,0,0
1738,15.95,220.51,713.18,7748.78,0,0
1741,0,0,1036.2,7272.22,0,0
1742,105.84,24.44,1601.37,10056.39,521.38,3274.18
1744,105.43,24.35,1473.21,9215.21,479.65,3000.31
1745,104.88,24.22,1571.38,8515.78,511.61,2772.59
1746,104.22,102.22,1596.39,8723.89,519.76,2840.35
1747,48.02,808.08,1506.34,7701.23,827.14,4284.75
1749,21.39,257.09,2237.93,12053.67,0,0
1752,46.38,444.28,1506.34,7701.23,827.14,4284.75
